Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
312,CT-I-m-A-02559.03,Valul de piatră,municipiul MEDGIDIA,Traversează teritoriul actual al mun. Medgidia în lungul str. Poporului,"sec. X, Epoca medievală timpurie"
313,CT-I-s-B-02697,Aşezare,municipiul MEDGIDIA,"Între str. Nicolae Bălcescu, Republicii, Poporului şi Decebal","sec. IX - XI, Epoca medieval timpurie"
314,CT-I-s-B-02698,Necropolă de înhumaţie,municipiul MEDGIDIA,"""Forja Veche”, în curtea Intreprinderii Mecanice de Utilaje Medgidia, str. Independenței, zona de NV municipiului","sec. II - I a. Chr., Latène a"
315, CT-I-s-B-02699, Aşezare, municipiul MEDGIDIA," Str. Dumbrava Roşie, de o parte și de alta a acesteia"," sec. IX - XI, Epoca medieval timpurie"
316,CT-I-s-B-02700,Aşezare,sat MIHAI VITEAZU; comuna MIHAI VITEAZU,"""Dealul Mormintelor”, la 1 km SSE de biserica din sat","sec. IV - VI p. Chr., Epoca romano-bizantină"
317,CT-I-s-A-02701,Ansamblu tumuli,sat MIHAI VITEAZU; comuna MIHAI VITEAZU,în perimetrul întregii comune,Epoca antică
318,CT-I-m-A-02559.02,Valul de piatră,sat MIRCEA VODĂ; comuna MIRCEA VODĂ,"Prin perimetrul agricol al satului Mircea Vodă, la 1 km S de gara CFR Mircea Vodă","sec. X, Epoca medieval timpurie"
319,CT-I-s-A-02560,Ansamblu tumuli Mircea Vodă,sat MIRCEA VODĂ comuna MIRCEA,În perimetrul întregii comune,Epoca antică
321,CT-I-m-B-02702.01,Aşezare,sat MIRCEA VODĂ; comuna MIRCEA VODĂ,În vecinătatea gării Mircea Vodă,"sec. IX - XI, Epoca medieval timpurie"
322,CT-I-m-B-02702.02,Castru,sat MIRCEA VODĂ; comuna MIRCEA VODĂ,În vecinătatea gării Mircea Vodă,"sec. IV - VI p. Chr., Epoca romano-bizantină"
323,CT-I-m-B-02702.03,Aşezare,sat MIRCEA VODĂ; comuna MIRCEA VODĂ,În vecinătatea gării Mircea Vodă,"sec. IV - VI p. Chr., Epoca romano-bizantină"
324,CT-I-s-B-02703,Villa rustica,sat MOŞNENI; comuna 23 AUGUST,La 10 km N de Mangalia şi la 1 km SV fostul IAS Moşneni,"de sec. II - III p. Chr., Epoca romană"
325, CT-I-m-A-02559.06, Valul de piatră, oraş MURFATLAR," Pe direcția NV-SE, la N de oraşul Murfatlar"," sec. X, Epoca medieval timpurie"
326,CT-I-s-A-02585,Ansamblul rupestru de la Murfatlar,oraş MURFATLAR,"Str. Muzeului 1, pe versantul de N al ”Dealului Tibișir”, pe malul de SV al canalului Dunăre-Marea Neagră, la S DN3 Constanța-Ostrov","sec. X - XI, Epoca medieval timpurie de"
327,CT-I-m-A-02585.01,Biserici,oraş MURFATLAR,"Str. Muzeului 1, pe versantul de N al ”Dealului Tibișir”, pe malul de SV al canalului Dunăre-Marea Neagră, la S DN3 Constanța-Ostrov","sec. X - XI, Epoca medieval timpurie de"
328,CT-I-m-A-02585.02,Morminte,oraş MURFATLAR,"Str. Muzeului 1, pe versantul de N al ”Dealului Tibișir”, pe malul de SV al canalului Dunăre-Marea Neagră, la S DN3 Constanța-Ostrov ”Dealului Tibișir”, pe malul de SV al","sec. X - XI, Epoca medieval timpurie de timpurie"
330,CT-I-m-A-02585.04,Galerii,oraş MURFATLAR,"Str. Muzeului 1, pe versantul de N al ”Dealului Tibișir”, pe malul de SV al canalului Dunăre-Marea Neagră, la S DN3 Constanța-Ostrov","sec. X - XI, Epoca medieval timpurie de"
331,CT-I-m-B-02586,Turn de piatră,oraş MURFATLAR,La NE de oraş,
332,CT-I-s-A-02587,Castrul de apărare a valului,oraş MURFATLAR,,Epoca romană
333,CT-I-s-B-02704,Aşezare,oraş NĂVODARI,"La S de oraş, aproape de DN86 spre Mamaia","sec. I - III p. Chr., Epoca romană"
334,CT-I-s-B-02732,Aşezare,oraş NĂVODARI,Insula Ostrov din lacul Taşaul,"mil. IV a. Chr., Eneolitic, Cultura Gumelniţa"
335,CT-I-s-B-02705,Situl arheologic de la Negru Vodă,oraş NEGRU VODĂ,La marginea de N a localităţii,
336,CT-I-m-B-02705.01,Aşezare,oraş NEGRU VODĂ,La marginea de N a localităţii,"sec. X, Epoca medieval timpurie"
337,CT-I-m-B-02705.02,Ansamblu tumuli,oraş NEGRU VODĂ,La marginea de N a localităţii,Epoca antică
338,CT-I-s-B-02706,Situl arheologic de la Negureni,sat NEGURENI; oraş BĂNEASA,"""Pădurea Negureni"", la cca. 200 m S de DN3, Trupul Valea Cișmelelor",
339,CT-I-m-B-02706.01,Aşezare,sat NEGURENI; oraş BĂNEASA,"""Pădurea Negureni"", la cca. 200 m S de DN3. Întregul intravilan al satului Negureni, cu străzile aferente, principale și secundare, perimetrul","sec. XI, Epoca medieval timpurie"
340,CT-I-m-B-02706.02,Aşezare,sat NEGURENI; oraş BĂNEASA,"""Pădurea Negureni"", la cca. 200 m S de DN3. Întregul intravilan al satului Negureni, cu străzile aferente, principale și secundare, perimetrul localității Negureni","sec. VI p. Chr., Epoca romano-bizantină"
341,CT-I-s-B-02707,Apeduct,sat NEGURENI; oraş BĂNEASA,"La 500 m V de aşezare, Trupul Valea Cișmelelor","sec. III p. Chr., Epoca romană"
342,CT-I-s-B-02708,Aşezare,sat NICOLAE BĂLCESCU; comuna NICOLAE BĂLCESCU,"La N de sat, pe DJ Nicolae Bălcescu - Medgidia","sec. XIII - XII a. Chr., Epoca bronzului"
343,CT-I-s-B-02709,Aşezare,sat NISIPARI; comuna CUZA VODĂ,La 4 km N de sat,"sec. I - III p. Chr., Epoca romană"
344,CT-I-s-B-02710,Aşezare,sat NISTOREŞTI; comuna PANTELIMON,La 200 m N de sat,"sec. I - VI p. Chr., Epoca romană"
345,CT-I-s-B-02711,Aşezare,sat NISTOREŞTI; comuna PANTELIMON,"La 1,5 km N de sat","sec. III - IV p. Chr., Epoca romană"
346,CT-I-s-B-02712,Aşezare grecească,sat NUNTAŞI; comuna ISTRIA,La capătul de V al satului,"sec. VI - IV a. Chr., Latène"
347,CT-I-s-B-02713,Aşezare rurală,sat NUNTAŞI; comuna ISTRIA,La 300 m SV de sat,"sec. II - III p. Chr., Epoca romană"
348,CT-I-s-B-02714,Aşezare,sat NUNTAŞI; comuna ISTRIA,"Nuntaşi Băi, la 300 m","sec. IV - II a. Chr., Epoca elenistică"
349,CT-I-s-B-02715,"Situl arheologic de la Nuntaşi, punct Nuntaşi Băi II Nuntaşi, punct Nuntaşi Băi",sat NUNTAŞI; comuna ISTRIA ISTRIA,"La 1 km N de Băile Nuntaşi, cca. 400 m SV de intersecţia DJ226 Năvodari - Mihai Viteazu cu DJ226A spre Histria",sec. I - III p. Chr. romano-bizantină
351,CT-I-s-B-02717,"Situl arheologic ""Cetatea Altinum"" -Oltina",sat OLTINA; comuna OLTINA,"""Dealul Măciuca”",sec. IV - VI p. Chr.
352,CT-I-m-B-02717.01,Cetatea Altinum,sat OLTINA; comuna OLTINA,"""Dealul Măciuca”","sec. IV - VI p. Chr., Epoca romano-bizantină"
353,CT-I-m-B-02717.02,Cuptoare de ars ceramică,sat OLTINA; comuna OLTINA,"""Dealul Măciuca”","sec. IV - VI p. Chr., Epoca romano-bizantină"
354,CT-I-s-A-02718,Ansamblu tumuli,sat OLTINA; comuna OLTINA,În perimetrul întregii comune,
355,CT-I-s-A-02719,Situl arheologic Durostorum,sat OSTROV; comuna OSTROV,"""Regie”, în apropierea punctului de trecere peste Dunăre, pe malul drept, în dreptul punctului de trecere a frontierei la Silistra, Bulgaria",
356,CT-I-m-A-02719.01,Necropolă,sat OSTROV; comuna OSTROV,"""Regie”, în apropierea punctului de trecere peste Dunăre, pe malul drept, în dreptul punctului de trecere a frontierei la Silistra, Bulgaria",Epoca medieval timpurie
357,CT-I-m-A-02719.02,Canabele castrului Durostorum,sat OSTROV; comuna OSTROV,"""Regie”, în apropierea punctului de trecere peste Dunăre, pe malul drept, în dreptul punctului de trecere a frontierei la Silistra, Bulgaria","sec. II - IV p. Chr., Epoca romană"
358,CT-I-m-A-02719.03,Necropolă Păcuiul lui Soare,sat OSTROV; comuna OSTROV OSTROV,"""Regie”, în apropierea punctului de trecere peste Dunăre, pe malul drept, în dreptul punctului de trecere a frontierei la Silistra, Bulgaria","sec. II - IV p. Chr., Epoca romană medieval timpurie"
360,CT-I-s-B-02721,Necropolă,sat OSTROV; comuna OSTROV,În dreptul silozurilor fostului SMA - str. Almalăului 12-16,"sec. IV a. Chr., Hallstatt"
361,CT-I-s-A-02722,Ansamblu tumuli,sat OSTROV; comuna OSTROV,În perimetrul întregii comune,Epoca antică
362,CT-I-s-A-02723,Situl arheologic de la Ovidiu,oraş OVIDIU,"Pe malul lacului Siutghiol, în partea de SE a oraşului, la SV de insula Ovidiu",
363,CT-I-m-A-02723.01,Castru,oraş OVIDIU,"Pe malul lacului Siutghiol, în partea de SE a oraşului, la SV de insula Ovidiu","sec. IV - VI p. Chr., Epoca romană"
364,CT-I-m-A-02723.02,Aşezare,oraş OVIDIU,"Pe malul lacului Siutghiol, în partea de SE a oraşului, la SV de insula Ovidiu",Epoca romană
365,CT-I-s-B-02724,Situl arheologic de la Palazu Mare,localitatea PALAZU MARE; municipiul CONSTANŢA,,
366,CT-I-m-B-02724.01,Aşezare rurală,localitatea PALAZU MARE; municipiul CONSTANŢA,intravilan,"sec. II - IV p. Chr., Epoca romană"
367, CT-I-m-B-02724.02, Necropolă, localitatea PALAZU MARE; municipiul CONSTANŢA,, Neolitic
368,CT-I-s-B-02725,Aşezare,sat PALAZU MIC; comuna MIHAIL KOGĂLNICEANU,"""La pământul galben”, la 1 km NV de podul DN22 Constanţa-Tulcea peste Casimcea și 1 km de sat","sec. I - III p. Chr., Epoca romană timpurie"
369,CT-I-s-A-02726,"Situl arheologic ""Cetatea Ulmetum"" de la Pantelimon",sat PANTELIMON; comuna PANTELIMON comuna PANTELIMON,"În vecinătatea de E a satului, la S de DJ226B DJ226B",sec. II - IV p. Chr. romană
371,CT-I-m-A-02726.02,Castru de pământ,sat PANTELIMON; comuna PANTELIMON,"În vecinătatea de E a satului, la S de DJ226B","sec. II - IV p. Chr., Epoca romană"
372,CT-I-m-B-02727,Aşezare rurală,sat PĂDURENI; comuna DOBROMIR,Intravilan,"sec. I - IV p. Chr., Epoca romană"
373,CT-I-s-B-02728,Aşezare,sat PECINEAGA; comuna PECINEAGA,La cca 3 km E de sat,"sec. II - IV p. Chr., Epoca romană"
374,CT-I-s-A-02729,Tumuli,sat PECINEAGA; comuna PECINEAGA,La 2-4 km SV de sat,Epoca antică
375,CT-I-s-B-02730,Aşezare rurală,sat PETROŞANI; comuna DELENI,Intravilan şi la E de sat,"sec. II - IV p. Chr., Epoca romană"
376,CT-I-s-B-02731,Aşezare,sat PIATRA; comuna MIHAIL KOGĂLNICEANU,"""Răţărie”, pe o peninsulă pe malul de al lacului Tașaul, la cca. 2,5 km SE de sat, la S de DC85 spre Luminița, com. Corbu","N sec. III a. Chr., Epoca elenistică"
377,CT-I-s-B-02733,Situl arheologic de la Pietreni,sat PIETRENI; comuna DELENI,"La intrarea în sat dinspre Deleni (SV), Sola II C2",
378, CT-I-m-B-02733.01, Villa rustica, sat PIETRENI; comuna DELENI," La intrarea în sat dinspre Deleni (SV), Sola II C2"," sec. III - IV p. Chr., Epoca romană"
379,CT-I-m-B-02733.02,Mormânt de înhumaţie,sat PIETRENI; comuna DELENI,"La intrarea în sat dinspre Deleni (SV), Sola II C2","sec. III - IV p. Chr., Epoca romană"
380,CT-I-s-A-02734,Tumuli,sat PIETRENI; comuna DELENI,În perimetrul întregii localități,Epoca antică
381,CT-I-s-B-02735,Situl arheologic de la Plopeni,sat PLOPENI; comuna CHIRNOGENI CHIRNOGENI,"La 6 km V de sat Credinţa, între acesta şi satul Plopeni", timpurie
383,CT-I-m-B-02735.02,Fortificaţie,sat PLOPENI; comuna CHIRNOGENI,"La 6 km V de sat Credinţa, între acesta şi satul Plopeni","sec. IV - VI p. Chr., Epoca romano-bizantină"
384,CT-I-m-A-02558.06,Fortificaţie din sistemul marelui val de pământ,sat POARTA ALBĂ; comuna POARTA ALBA,"Valul mare de pământ, cu fortificații - apare în NV teritoriului administrativ, E de cariera Lafarge Medgidia, apoi un tronson pe direcția NV-SE, la N de satul Poarta Albă și la S de Penitenciarul Poarta Albă, la N de Canalul Poarta Albă-Midia, Năvodari, la E de satul Poarta Albă, la limita cu teritoriul administrativ al orașului Murfatlar","sec. VI p. Chr., Epoca la medieval timpurie"
385,CT-I-m-A-02559.05,Valul de piatră,sat POARTA ALBĂ; comuna POARTA ALBĂ,Prin capătul de S al satului Poarta Albă,"sec. X, Epoca medieval timpurie"
386,CT-I-s-B-02736,Situl arheologic de la Rasova,sat RASOVA; comuna RASOVA,"""Malul Roşu”, la 1,5 km NE de sat, pe malul Dunării, la N de DJ223",
387,CT-I-m-B-02736.01,Aşezare,sat RASOVA; comuna RASOVA,"""Malul Roşu”, la 1,5 km NE de sat, pe malul Dunării, la N de DJ223","sec. VIII - X, Epoca medieval timpurie"
388,CT-I-m-B-02736.02,Aşezare,sat RASOVA; comuna RASOVA,"""Malul Roşu”, la 1,5 km NE de sat, pe malul Dunării, la N de DJ223",Epoca romană
389,CT-I-m-B-02736.03,Aşezare,sat RASOVA; comuna RASOVA,"""Malul Roşu”, la 1,5 km NE de sat, pe malul Dunării, la N de DJ223","sec. VI a. Chr., Hallstatt"
390,CT-I-s-B-02737,Sistem de castre,sat RASOVA; comuna RASOVA,"La 2,5 km E de sat, deasupra văii Caramancea","sec. II - IV p. Chr., Epoca romană"
391,CT-I-m-B-02738,"Fortificaţie Rasova, punct ""Pescărie""",sat RASOVA; comuna RASOVA RASOVA,În vatra satului lacului Baciu,"sec. X, Epoca medieval timpurie"
393,CT-I-m-B-02739.01,Aşezare fortificată,sat RASOVA; comuna RASOVA,"""Pescărie”, la 3 km SV de sat, pe malul lacului Baciu","sec. VIII - X, Epoca medieval timpurie"
394,CT-I-m-B-02739.02,Aşezare,sat RASOVA; comuna RASOVA,"""Pescărie”, la 3 km SV de sat, pe malul lacului Baciu","sec. II - III p. Chr., Epoca romană"
395,CT-I-s-A-02740,Tumuli,sat RASOVA; comuna RASOVA,În perimetrul întregii comune,Epoca antică
396,CT-I-s-B-02741,Grotă cu inscripţii latine,sat RÂMNICU DE JOS; comuna COGEALAC,"""Chirişlic”","sec. I - III p. Chr., Epoca romană"
397,CT-I-m-A-02557.03,Valul mic de pământ,sat REMUS OPREANU; municipiul MEDGIDIA,"La aprox. 2 km S de satul Remus Opreanu, în zona DJ222 Medgidia- Peștera","sec. VI p. Chr., Epoca romană"
398,CT-I-m-B-02742,Stânci cu cruci gravate,sat REMUS OPREANU; municipiul MEDGIDIA,La intersecţia Văii Alibei-Ceair cu Valea Carasu,"sec. VIII - IX, Epoca medieval timpurie"
399,CT-I-s-A-02743,Situl arheologic de la Satu Nou,sat SATU NOU; comuna OLTINA,,
400,CT-I-m-B-02743.01,Aşezare fortificată,sat SATU NOU; comuna OLTINA,"""La Cetate”, la 3 km N de sat, pe malul Dunării; ""Capul Dealului""","sec. X - XI, Epoca medieval timpurie"
401,CT-I-m-B-02743.02,Necropolă de incineraţie,sat SATU NOU; comuna OLTINA,"""La armane”","sec. IX - X, Epoca medieval timpurie"
402,CT-I-m-A-02743.03,"Aşezarea fortificată ""Dava""",sat SATU NOU; comuna OLTINA,"""Valea lui Voicu”, la 3 km N de sat, pe malul Dunării","sec. III - I a. Chr., Latène, Cultura geto - dacică"
