Nr. crt.,Cod LMI,Denumire,Localitate,Adresă,Datare
285,TL-I -m-B-05859.01,Aşezare,"sat NICULIŢEL; ""Ceairul comuna NICULIŢEL de","lui Iancu”, între 3 şi 3, 5 km NE sat",Epoca romano-bizantină
286,TL-I -m-B-05859.02,Aşezare,"sat NICULIŢEL; ""Ceairul comuna NICULIŢEL de","lui Iancu”, între 3 şi 3, 5 km NE sat",Epoca daco-romană
287,TL-I -m-B-05859.03,Aşezare,"sat NICULIŢEL; ""Ceairul comuna NICULIŢEL de","lui Iancu”, între 3 şi 3, 5 km NE sat","Latène, Cultura geto - dacică"
288,TL-I -s-B-05860,"Situl arheologic de la Niculiţel, punct ""Cetăţuie""","sat NICULIŢEL; ""Cetăţuie”, comuna NICULIŢEL T22,","la 3 km V de satul Niculiţel, P1105/1",
289,TL-I -m-B-05860.01,Biserica treflată,"sat NICULIŢEL; ""Cetăţuie”, comuna NICULIŢEL T22,","la 3 km V de satul Niculiţel, P1105/1","sec. XI - XII, Epoca medievală"
290,TL-I -m-B-05860.02,Aşezare,"sat NICULIŢEL; ""Cetăţuie”, comuna NICULIŢEL T22,","la 3 km V de satul Niculiţel, P1105/1",Epoca romano-bizantină
291,TL-I -s-B-05861,Villa rustica,"sat NICULIŢEL; ""Gurgoaia”, comuna NICULIŢEL Niculiţel",extremitatea de V a satului,"sec. II - III p. Chr., Epoca romană"
292,TL-I -m-A-05862,Bazilica paleocreştină cu criptă,"sat NICULIŢEL; Str. comuna NICULIŢEL T58,","Muzeului 1, Intravilan, T57, Cc1805; Cc1815","sec. IV - VI p. Chr., Epoca romano-bizantină"
293,TL-I -s-B-05863,"Mănăstirea Taiţa, ruine",sat NIFON; comuna La HAMCEARCA,1 km N de satul Nifon,"sec. XVII - XVIII, Epoca medievală"
294,TL-I -s-A-05864,Situl arheologic de la Nufăru,sat NUFĂRU; Intravilan comuna NUFĂRU,,
295,TL-I -a-A-05864.01,Cetatea Prislav,sat NUFĂRU; Intravilan comuna NUFĂRU,,"sec. X - XIV, Epoca medievală"
296,TL-I -m-A-05864.02,Necropolă,sat NUFĂRU; Intravilan comuna NUFĂRU,,"sec. XI - XII, Epoca medievală timpurie"
297,TL-I -m-A-05864.03,Fortificaţie romană,sat NUFĂRU; Intravilan comuna NUFĂRU,,"sec. IV - VI p. Chr., Epoca romană"
298,TL-I -m-A-05864.04,Aşezare,sat NUFĂRU; Intravilan comuna NUFĂRU,,"sec. II - VI p. Chr., Epoca romană"
299,TL-I -m-A-05864.05,Aşezare,sat NUFĂRU; Intravilan comuna NUFĂRU,,"sec. V - IV a. Chr., Latène timpuriu, Cultura geto - dacică"
300,TL-I -m-A-05864.06,Aşezare,sat NUFĂRU; Intravilan comuna NUFĂRU,,"Neolitic, Cultura Gumelniţa"
301,TL-I -s-B-05865,Aşezare,sat NUFĂRU; Între comuna NUFĂRU de,"500-800 m SE de satul Nufăru, la S DJ Nufăru-Victoria","sec. XI - XIII, Epoca medievală timpurie"
302,TL-I -s-B-05866,Situl arheologic de la Nufăru,sat NUFĂRU; Între comuna NUFĂRU parte,"1,4-1,8 km SE de satul Nufăru, de o și de alta a DJ Nufăru-Victoria",
303,TL-I -m-B-05866.01,Aşezare,sat NUFĂRU; Între comuna NUFĂRU parte,"1,4-1,8 km SE de satul Nufăru, de o și de alta a DJ Nufăru-Victoria","sec. II - III p. Chr., Epoca romană"
304,TL-I -m-B-05866.02,Aşezare,sat NUFĂRU; Între comuna NUFĂRU parte,"1,4-1,8 km SE de satul Nufăru, de o și de alta a DJ Nufăru-Victoria","sec. IV - I a. Chr., Latène, Cultura geto - dacică"
305,TL-I -s-B-05867,Situl arheologic de la Nufăru,sat NUFĂRU; La comuna NUFĂRU valea,"cca. 1, 8 km S de satul Nufăru, pe Curcuz",
306,TL-I -m-B-05867.01,Aşezare,sat NUFĂRU; La comuna NUFĂRU valea,"cca. 1, 8 km S de satul Nufăru, pe Curcuz","sec. X - XI, Epoca medievală timpurie"
307,TL-I -m-B-05867.02,Aşezare,sat NUFĂRU; La comuna NUFĂRU valea,"cca. 1, 8 km S de satul Nufăru, pe Curcuz","sec. IV - II a. Chr., Latène, Cultura geto - dacică"
308,TL-I -s-B-05869,Complexe meşteşugăreşti,sat NUFĂRU; La comuna NUFĂRU DJ,"cca. 600 m V de satul Nufăru, la S de Tulcea-Nufăru",Epoca medievală
309,TL-I -s-B-05870,Situl arheologic de la Nufăru,sat NUFĂRU; Intravilan comuna NUFĂRU partea,"SE şi, parţial, extravilan, pe dreaptă a DJ Nufăru-Victoria",
310,TL-I -m-B-05870.01,Aşezare,sat NUFĂRU; Intravilan comuna NUFĂRU partea,"SE şi, parţial, extravilan, pe dreaptă a DJ Nufăru-Victoria","sec. X - XII, Epoca medievală timpurie"
311,TL-I -m-B-05870.02,Aşezare,sat NUFĂRU; Intravilan comuna NUFĂRU partea,"SE şi, parţial, extravilan, pe dreaptă a DJ Nufăru-Victoria","sec. III - I a. Chr., Latène, Cultura geto - dacică"
312,TL-I -s-B-05871,Necropolă de inhumaţie,sat NUFĂRU; Intravilan comuna NUFĂRU,"Nufăru, sector S, și extravilan","sec. XI, Epoca medievală"
313,TL-I -s-A-05872,"Situl arheologic ""Cetatea Beroe""","sat OSTROV; ""Piatra comuna OSTROV Ostrov, malul","Frecăţei”, la cca. 2 km S de satul pe promontoriul înalt de pe drept al braţului Măcin",
314,TL-I -m-A-05872.01,Cetatea Beroe,"sat OSTROV; ""Piatra comuna OSTROV Ostrov, malul","Frecăţei”, la cca. 2 km S de satul pe promontoriul înalt de pe drept al braţului Măcin","sec. II - VII, Epoca romană"
315,TL-I -m-A-05872.02,Aşezare civilă,"sat OSTROV; ""Piatra comuna OSTROV",Frecăţei”,"sec. II - VII, Epoca romană"
316,TL-I -m-A-05872.03,Necropolă,sat OSTROV; Între comuna OSTROV partea,"100 şi 500 m E de cetatea Beroe, pe stângă a DJ Ostrov-Dăeni","sec. II - XII, Epoca romană, Epoca medievală timpurie"
317,TL-I -s-B-05873,Situl arheologic de la Parcheş,"sat PARCHEŞ; ""La comuna SOMOVA Parcheş","Bugeac”, la cca. 550 m V de satul",
318,TL-I -m-B-05873.01,Aşezare,"sat PARCHEŞ; ""La comuna SOMOVA Parcheş","Bugeac”, la cca. 550 m V de satul","sec. II-III p. Chr., Epoca romană"
319,TL-I -m-B-05873.02,Aşezare,"sat PARCHEŞ; ""La comuna SOMOVA Parcheş","Bugeac”, la cca. 550 m V de satul","sec. IV-III a. Chr, Latène, Cultura geto - dacică"
320,TL-I -s-B-05874,Aşezare,"sat PARCHEŞ; ""Iarba comuna SOMOVA Parcheş","Dulce”, la cca. 800 m V de satul",Epoca medievală târzie
321,TL-I -s-B-05875,Aşezare getică,sat PARCHEŞ; La comuna SOMOVA sudic,"limita de N a satului Parcheş, pe malul al lacului Parcheş","sec. III-II a. Chr, Latène, Cultura geto - dacică"
322,TL-I -s-B-05876,Fortificaţie,"sat PECENEAGA; ""La comuna PECENEAGA",Cardon”,Epoca romană
323,TL-I -s-B-05877,"Situl arheologic de la Peceneaga, punct ""La Piscul Sărat""","sat PECENEAGA; ""La comuna localitate, PECENEAGA Măcin","Piscul Sărat”, la cca. 2,5 km S de pe malul drept al braţului",
324,TL-I -m-B-05877.01,Aşezare,"sat PECENEAGA; ""La comuna localitate, PECENEAGA Măcin","Piscul Sărat”, la cca. 2,5 km S de pe malul drept al braţului",Epoca medievală timpurie
325,TL-I -m-B-05877.02,Aşezare,"sat PECENEAGA; ""La comuna localitate, PECENEAGA Măcin","Piscul Sărat”, la cca. 2,5 km S de pe malul drept al braţului",Epoca romană
326,TL-I -m-B-05877.03,Aşezare,"sat PECENEAGA; ""La comuna localitate, PECENEAGA Măcin","Piscul Sărat”, la cca. 2,5 km S de pe malul drept al braţului","Latène, Cultura geto - dacică"
327,TL-I -s-B-05878,"Situl arheologic de la Peceneaga, punct ""Dealul Cazacului""","sat PECENEAGA; ""Dealul comuna de PECENEAGA Peceneaga-Ostrov","Cazacului”, la cca. 700-800 m S localitate, pe partea dreaptă a DJ",
328,TL-I -m-B-05878.01,Val,"sat PECENEAGA; ""Dealul comuna de PECENEAGA Peceneaga-Ostrov","Cazacului”, la cca. 700-800 m S localitate, pe partea dreaptă a DJ","Latène, Cultura geto - dacică"
329,TL-I -m-B-05878.02,Necropolă tumulară,"sat PECENEAGA; ""Dealul comuna de PECENEAGA Peceneaga-Ostrov","Cazacului”, la cca. 700-800 m S localitate, pe partea dreaptă a DJ","Latène, Cultura geto - dacică"
330,TL-I -s-B-05879,Aşezare,sat PERIPRAVA; La comuna C. A. ROSETTI,S şi SV de satul Periprava,Epoca medievală
331,TL-I -s-B-05880,Aşezare rurală,sat PLOPU; Pe comuna Beibugeac” MURIGHIOL,"malul de V al ghiolului ""Sărătura","sec. IV - VI p. Chr., Epoca romano-bizantină"
332,TL-I -s-B-05881,Aşezare,sat POŞTA; comuna La FRECĂŢEI Poşta,cca. 500 m de marginea de S a satului,"sec. X - XI, Epoca medievală timpurie"
333,TL-I -s-B-05882,Situl arheologic de la Poşta,sat POŞTA; comuna La FRECĂŢEI de,300 m NV de satul Poşta şi 300 m SV DJ Poşta-Teliţa,
